CustomerID,EngagementMetric,OperationalMetric,Revenue,Date
1,75,80,5000,2023-01-01
2,82,76,4800,2023-01-02
3,68,85,4600,2023-01-03
4,90,78,6200,2023-01-04
5,88,77,6100,2023-01-05
6,77,82,5300,2023-01-06
7,85,79,5900,2023-01-07
8,80,84,5600,2023-01-08
9,73,81,5100,2023-01-09
10,86,83,6000,2023-01-10
11,78,79,5500,2023-01-11
12,82,80,5800,2023-01-12
13,75,82,5200,2023-01-13
14,88,85,6100,2023-01-14
15,83,78,5700,2023-01-15
16,79,81,5400,2023-01-16
17,85,83,6000,2023-01-17
18,87,80,6200,2023-01-18
19,76,84,5300,2023-01-19
20,81,79,5700,2023-01-20
21,89,85,6400,2023-01-21
22,74,80,5000,2023-01-22
23,80,83,5600,2023-01-23
24,77,82,5400,2023-01-24
25,84,79,5800,2023-01-25
26,86,84,6100,2023-01-26
27,78,81,5500,2023-01-27
28,90,85,6200,2023-01-28
29,82,83,5900,2023-01-29
30,75,79,5300,2023-01-30
31,88,84,6100,2023-01-31
32,80,80,5600,2023-02-01
33,85,81,5900,2023-02-02
34,83,84,5800,2023-02-03
35,76,79,5300,2023-02-04
36,89,85,6400,2023-02-05
37,78,80,5400,2023-02-06
38,86,83,6100,2023-02-07
39,81,82,5700,2023-02-08
40,74,79,5000,2023-02-09
41,87,84,6200,2023-02-10
42,80,81,5600,2023-02-11
43,83,82,5800,2023-02-12
44,75,78,5200,2023-02-13
45,88,85,6100,2023-02-14
